,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
i,0.0004,0.0148,0.0006,0.0002,0.0,0.0002,0.0002,0.01,0.0,0.0,0.0002,0.0126,0.0,0.0006,0.0002,0.0,0.0002,0.0002,0.0004,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0062,0.0002,0.0006,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0002,0.0
will,0.0012,0.014,0.0004,0.0002,0.0,0.0,0.0002,0.0498,0.0002,0.0008,0.0,0.0016,0.0,0.0,0.0002,0.0,0.0044,0.0,0.019,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0048,0.0002,0.0058,0.0002,0.0094,0.0018,0.0,0.0148,0.0,0.0,0.0038,0.0,0.0,0.0114,0.0,0.0,0.0028,0.0002,0.0,0.0,0.0,0.0
we,0.0004,0.0284,0.0028,0.0,0.0004,0.0014,0.0006,0.032,0.0004,0.0006,0.0006,0.1842,0.0018,0.0002,0.0002,0.0,0.0008,0.0,0.0006,0.0004,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0106,0.0004,0.0008,0.0,0.0016,0.0028,0.0,0.001,0.0002,0.007,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0036,0.0002,0.0,0.0,0.0002,0.0
can,0.0004,0.0176,0.001,0.0002,0.0,0.0008,0.0004,0.0914,0.0004,0.0006,0.0002,0.0026,0.0,0.0,0.0,0.0,0.0112,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0118,0.0002,0.0,0.0054,0.0002,0.0168,0.0052,0.0,0.0702,0.0004,0.0,0.0384,0.0,0.0,0.0276,0.0,0.0,0.0278,0.0014,0.0,0.0,0.0094,0.0
its,0.0,0.1102,0.1046,0.0,0.0528,0.0592,0.1932,0.006,0.1148,0.0208,0.0202,0.0062,0.0006,0.0152,0.0272,0.0052,0.0,0.0012,0.0006,0.0084,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0006,0.0168,0.001,0.0002,0.0,0.0098,0.0,0.0002,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0106,0.0,0.0018,0.0
you,0.0002,0.0032,0.0008,0.0,0.004,0.0008,0.0044,0.0102,0.0032,0.0006,0.0004,0.012,0.0042,0.0004,0.0,0.0,0.0002,0.0,0.0004,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.002,0.0004,0.0,0.0,0.0008,0.0008,0.0,0.0012,0.0,0.0052,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0
her,0.0,0.0354,0.0798,0.0,0.0412,0.045,0.0616,0.0146,0.0456,0.0046,0.02,0.0038,0.0004,0.017,0.009,0.0002,0.0002,0.001,0.0026,0.0028,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0002,0.0074,0.0008,0.0002,0.0,0.0102,0.0,0.0,0.0004,0.0,0.0002,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0004,0.0018,0.002
our,0.0,0.0218,0.1662,0.0,0.0708,0.0872,0.0306,0.019,0.0274,0.0096,0.0376,0.0044,0.0008,0.0122,0.0066,0.0,0.0002,0.0006,0.0032,0.0012,0.0,0.0,0.0,0.0016,0.0012,0.0,0.0004,0.0046,0.001,0.001,0.0,0.0078,0.0,0.0,0.001,0.0004,0.0004,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.009,0.0002,0.0008,0.0
they,0.0,0.0046,0.0006,0.0,0.0002,0.0034,0.0004,0.0338,0.0006,0.0008,0.0006,0.133,0.0014,0.0006,0.0,0.0,0.0002,0.0002,0.0002,0.0004,0.0002,0.0,0.0,0.0002,0.0006,0.0,0.0,0.011,0.001,0.0,0.0002,0.0002,0.0004,0.0,0.0014,0.0,0.0016,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0002,0.0006,0.0002
also,0.0,0.0008,0.0,0.0,0.0,0.0,0.0004,0.0012,0.0,0.0216,0.0,0.0,0.0254,0.0,0.0,0.0332,0.0004,0.0042,0.033,0.0,0.0,0.0,0.0,0.0176,0.0,0.0,0.0,0.7632,0.0,0.0,0.0046,0.0,0.0018,0.0012,0.008,0.0044,0.0156,0.0,0.0008,0.0,0.0,0.0164,0.0,0.0,0.001,0.0,0.0,0.0048,0.0,0.0
been,0.0,0.0028,0.0004,0.0,0.0016,0.0002,0.0,0.0158,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.2208,0.0004,0.0,0.003,0.0,0.0,0.0,0.0,0.1446,0.0,0.0,0.002,0.0008,0.0032,0.0,0.0018,0.0,0.0122,0.0002,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0014,0.0,0.0,0.0114,0.0,0.0,0.0,0.0002,0.0
which,0.0,0.0022,0.0152,0.0,0.0056,0.0222,0.0016,0.0002,0.0036,0.0002,0.0016,0.0,0.0,0.0016,0.0022,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0008,0.0,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0004,0.0
these,0.0,0.0014,0.2028,0.0,0.0346,0.0434,0.0164,0.0346,0.028,0.001,0.03,0.0188,0.0008,0.0128,0.0118,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0004,0.0002,0.0006,0.0,0.0034,0.0,0.0,0.0004,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0008,0.0,0.0076,0.0004,0.0006,0.0
into,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.001,0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
were,0.0,0.0032,0.0014,0.0,0.0,0.0002,0.0,0.0202,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0004,0.001,0.0,0.0116,0.0006,0.0,0.0064,0.0,0.0,0.0012,0.0,0.0,0.0166,0.0,0.0,0.0042,0.0012,0.0,0.0,0.0002,0.0002
one,0.0028,0.004,0.0176,0.0,0.0138,0.0236,0.01,0.0036,0.0062,0.017,0.008,0.027,0.0002,0.008,0.003,0.0012,0.0016,0.0084,0.0052,0.0024,0.0,0.0002,0.0,0.0,0.0018,0.0,0.0008,0.0074,0.0004,0.0,0.0,0.002,0.0,0.0,0.001,0.0006,0.0012,0.0,0.0,0.001,0.0,0.0,0.0,0.0004,0.0,0.0002,0.0042,0.0,0.0002,0.0058
said,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0144,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
