,the,of,to,and,in,a,be,that,it,is,which,as,by,this,would,have,or,for,not,will,their,with,from,are,an,they,on,states,been,government,may,state,all,but,its,power,has,other,if,at,more,than,them,any,one,people,no,those,there,we
which,0.0,0.008076869516780393,0.012720374916313323,0.013192612137203167,0.03422190201729106,0.0,0.0,0.014916467780429595,0.0013218770654329147,0.0,0.0,0.0,0.053699284009546544,0.0011061946902654867,0.0,0.0,0.009433962264150945,0.02586206896551724,0.0,0.0,0.0,0.04522613065326633,0.029605263157894735,0.001763668430335097,0.0,0.0,0.019021739130434784,0.03794642857142857,0.0,0.01485148514851485,0.0,0.008385744234800839,0.004739336492890996,0.007575757575757576,0.0,0.02763819095477387,0.0,0.008875739644970414,0.0,0.013550135501355014,0.0,0.0,0.017006802721088433,0.002785515320334262,0.028985507246376812,0.01893939393939394,0.0,0.08306709265175719,0.0,0.0
as,0.0,0.0004177691129369169,0.0008926578888640928,0.01394647568790049,0.0007204610951008645,0.0,0.009283819628647215,0.010143198090692125,0.010575016523463317,0.006870229007633588,0.0008250825082508251,0.0,0.0011933174224343676,0.00663716814159292,0.0010845986984815619,0.001303780964797914,0.0013477088948787063,0.0028735632183908046,0.002911208151382824,0.0045045045045045045,0.0,0.0,0.001644736842105263,0.005291005291005291,0.0,0.005780346820809248,0.0,0.02901785714285714,0.002070393374741201,0.024752475247524754,0.004338394793926247,0.006289308176100629,0.002369668246445498,0.022727272727272728,0.0,0.005025125628140704,0.0,0.005917159763313609,0.0,0.0,0.0,0.003194888178913738,0.027210884353741496,0.0,0.007246376811594203,0.007575757575757576,0.0,0.0,0.0,0.003401360544217687
by,0.0,0.0002785127419579446,0.0008926578888640928,0.005653976630229929,0.0,0.0,0.0022104332449160036,0.003579952267303103,0.005287508261731659,0.003816793893129771,0.004125412541254125,0.006322444678609061,0.0,0.0,0.0032537960954446858,0.005215123859191656,0.022911051212938006,0.01293103448275862,0.004366812227074236,0.0,0.0,0.0,0.0,0.003527336860670194,0.0,0.0019267822736030828,0.0,0.006696428571428571,0.002070393374741201,0.0,0.004338394793926247,0.0041928721174004195,0.004739336492890996,0.010101010101010102,0.0,0.01256281407035176,0.0,0.0029585798816568047,0.005420054200542005,0.0027100271002710027,0.00684931506849315,0.02875399361022364,0.027210884353741496,0.0,0.0,0.015151515151515152,0.0,0.006389776357827476,0.0,0.0
this,0.0,0.022559532098593512,0.015398348582905601,0.0067847719562759146,0.04394812680115273,0.0,0.0004420866489832007,0.024463007159904536,0.0013218770654329147,0.010687022900763359,0.009075907590759076,0.0073761854583772385,0.003579952267303103,0.0,0.0010845986984815619,0.0,0.0,0.028735632183908046,0.005822416302765648,0.0,0.0,0.01340033500837521,0.044407894736842105,0.0,0.0,0.0,0.0951086956521739,0.006696428571428571,0.0,0.012376237623762377,0.0,0.0,0.026066350710900476,0.05050505050505051,0.0,0.002512562814070352,0.0,0.008875739644970414,0.02710027100271003,0.02168021680216802,0.0,0.01597444089456869,0.01020408163265306,0.0,0.007246376811594203,0.003787878787878788,0.0,0.0,0.0,0.0
would,0.0,0.0001392563709789723,0.0002231644722160232,0.010554089709762533,0.0,0.0,0.0,0.00477326968973747,0.0806345009914078,0.0007633587786259542,0.04207920792079208,0.0073761854583772385,0.0,0.021017699115044246,0.0,0.0,0.005390835579514825,0.0,0.0,0.0,0.0,0.0016750418760469012,0.0,0.0,0.0,0.07707129094412331,0.0,0.07366071428571429,0.0,0.017326732673267328,0.0,0.010482180293501049,0.009478672985781991,0.020202020202020204,0.0,0.007537688442211055,0.0,0.008875739644970414,0.0,0.0,0.0,0.01597444089456869,0.02040816326530612,0.0,0.028985507246376812,0.011363636363636364,0.0,0.0,0.08,0.0
have,0.0,0.0,0.021200624860522203,0.005653976630229929,0.0,0.0,0.0,0.005369928400954654,0.003304692663582287,0.0,0.06353135313531354,0.0,0.0,0.0,0.07158351409978309,0.0,0.0013477088948787063,0.0,0.014556040756914121,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.10597302504816955,0.0,0.02232142857142857,0.0,0.0,0.05856832971800434,0.0020964360587002098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.007575757575757576,0.0,0.0,0.016,0.13605442176870747
or,0.0,0.0,0.0,0.0,0.00036023054755043225,0.0,0.0,0.0005966587112171838,0.001982815598149372,0.0015267175572519084,0.0,0.0,0.0,0.0011061946902654867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033500837520938024,0.0,0.003527336860670194,0.0,0.0,0.0,0.04241071428571428,0.002070393374741201,0.007425742574257425,0.0,0.023060796645702306,0.011848341232227489,0.0,0.0,0.01256281407035176,0.0,0.0029585798816568047,0.0,0.0,0.02054794520547945,0.0,0.017006802721088433,0.0,0.03985507246376812,0.01893939393939394,0.0,0.0,0.0,0.0
for,0.0,0.0,0.0002231644722160232,0.005277044854881266,0.0,0.0,0.002652519893899204,0.0005966587112171838,0.003304692663582287,0.0007633587786259542,0.0016501650165016502,0.0,0.0,0.0,0.0,0.002607561929595828,0.0013477088948787063,0.0,0.002911208151382824,0.0,0.0,0.0,0.0,0.001763668430335097,0.0,0.0,0.0,0.011160714285714284,0.008281573498964804,0.024752475247524754,0.0021691973969631237,0.006289308176100629,0.0,0.0025252525252525255,0.0,0.005025125628140704,0.0,0.005917159763313609,0.0027100271002710027,0.0,0.003424657534246575,0.012779552715654952,0.030612244897959183,0.002785515320334262,0.0,0.015151515151515152,0.0,0.0,0.0,0.0
not,0.0,0.0002785127419579446,0.0002231644722160232,0.002638522427440633,0.0,0.0,0.004862953138815207,0.0005966587112171838,0.013218770654329148,0.06641221374045801,0.0016501650165016502,0.002107481559536354,0.0,0.0,0.0596529284164859,0.014341590612777053,0.004043126684636119,0.004310344827586207,0.0,0.09309309309309309,0.0,0.0,0.001644736842105263,0.06525573192239859,0.0,0.009633911368015413,0.0,0.004464285714285714,0.002070393374741201,0.007425742574257425,0.039045553145336226,0.0,0.0,0.007575757575757576,0.0,0.002512562814070352,0.03430079155672823,0.0,0.05420054200542006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.006802721088435374
will,0.000293398533007335,0.0,0.0,0.010931021485111195,0.0,0.0,0.0,0.002983293556085919,0.07270323859881031,0.0,0.03135313531353135,0.004214963119072708,0.0,0.015486725663716814,0.0,0.0,0.004043126684636119,0.0,0.001455604075691412,0.0015015015015015015,0.0035714285714285713,0.0,0.0,0.0,0.0,0.04816955684007707,0.0,0.026785714285714284,0.0,0.034653465346534656,0.0,0.0041928721174004195,0.0,0.0025252525252525255,0.0049382716049382715,0.002512562814070352,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.015151515151515152,0.0,0.0,0.05333333333333333,0.013605442176870748
